"","date","county","state","fips","cases","deaths"
"1",2020-03-22,"Albany","New York",36001,123,0
"2",2020-03-22,"Allegany","New York",36003,2,0
"3",2020-03-22,"Broome","New York",36007,3,1
"4",2020-03-22,"Chenango","New York",36017,3,0
"5",2020-03-22,"Clinton","New York",36019,4,0
"6",2020-03-22,"Columbia","New York",36021,5,0
"7",2020-03-22,"Cortland","New York",36023,1,0
"8",2020-03-22,"Delaware","New York",36025,3,0
"9",2020-03-22,"Dutchess","New York",36027,82,0
"10",2020-03-22,"Erie","New York",36029,54,0
"11",2020-03-22,"Essex","New York",36031,3,0
"12",2020-03-22,"Fulton","New York",36035,1,0
"13",2020-03-22,"Genesee","New York",36037,1,0
"14",2020-03-22,"Greene","New York",36039,2,0
"15",2020-03-22,"Hamilton","New York",36041,2,0
"16",2020-03-22,"Herkimer","New York",36043,4,0
"17",2020-03-22,"Jefferson","New York",36045,1,0
"18",2020-03-22,"Livingston","New York",36051,2,0
"19",2020-03-22,"Madison","New York",36053,1,0
"20",2020-03-22,"Monroe","New York",36055,57,0
"21",2020-03-22,"Montgomery","New York",36057,3,0
"22",2020-03-22,"Nassau","New York",36059,1900,7
"23",2020-03-22,"New York","New York",NA,9045,99
"24",2020-03-22,"Niagara","New York",36063,6,0
"25",2020-03-22,"Oneida","New York",36065,5,0
"26",2020-03-22,"Onondaga","New York",36067,29,0
"27",2020-03-22,"Ontario","New York",36069,6,0
"28",2020-03-22,"Orange","New York",36071,247,0
"29",2020-03-22,"Putnam","New York",36079,37,0
"30",2020-03-22,"Rensselaer","New York",36083,26,0
"31",2020-03-22,"Rockland","New York",36087,455,3
"32",2020-03-22,"Saratoga","New York",36091,41,0
"33",2020-03-22,"Schenectady","New York",36093,39,0
"34",2020-03-22,"Schoharie","New York",36095,1,0
"35",2020-03-22,"St. Lawrence","New York",36089,1,0
"36",2020-03-22,"Steuben","New York",36101,3,0
"37",2020-03-22,"Suffolk","New York",36103,1034,12
"38",2020-03-22,"Sullivan","New York",36105,16,0
"39",2020-03-22,"Tioga","New York",36107,1,0
"40",2020-03-22,"Tompkins","New York",36109,13,0
"41",2020-03-22,"Ulster","New York",36111,26,0
"42",2020-03-22,"Warren","New York",36113,1,0
"43",2020-03-22,"Washington","New York",36115,1,0
"44",2020-03-22,"Wayne","New York",36117,3,0
"45",2020-03-22,"Westchester","New York",36119,1873,0
"46",2020-03-22,"Wyoming","New York",36121,2,0
